-0,346502--0,196734545454545	6
-0,196734545454545--0,0469670909090908	0
-0,0469670909090908-0,102800363636364	0
0,102800363636364-0,252567818181818	9
0,252567818181818-0,402335272727273	9
0,402335272727273-0,552102727272727	3
0,552102727272727-0,701870181818182	15
0,701870181818182-0,851637636363637	18
0,851637636363637-1,00140509090909	30
1,00140509090909-1,15117254545455	27
1,15117254545455-1,30094	36
1,30094-1,45070745454546	45
1,45070745454546-1,60047490909091	39
1,60047490909091-1,75024236363636	54
1,75024236363636-1,90000981818182	60
1,90000981818182-2,04977727272727	81
2,04977727272727-2,19954472727273	66
2,19954472727273-2,34931218181818	90
2,34931218181818-2,49907963636364	75
2,49907963636364-2,64884709090909	75
2,64884709090909-2,79861454545455	60
2,79861454545455-2,948382	72
2,948382-3,09814945454545	39
3,09814945454545-3,24791690909091	51
3,24791690909091-3,39768436363636	27
3,39768436363636-3,54745181818182	12
3,54745181818182-3,69721927272727	33
3,69721927272727-3,84698672727273	15
3,84698672727273-3,99675418181818	3
3,99675418181818-4,14652163636363	6
4,14652163636363-4,29628909090909	3
4,29628909090909-4,44605654545454	3
4,44605654545454-4,595824	0
